"Año 
";"Departamento 
";"Municipio
";"CIE-10
";"Diagnóstico
";Grupo Etario;Sexo;Casos
2024;QUICHE;IXCÁN;I:15;Hipertensión secundaria;60 a 64 años;M;1
2024;QUICHE;JOYABAJ;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;20 a 24 años;M;2
2024;QUICHE;SANTA CRUZ DEL QUICHÉ;I:46;Paro cardíaco;20 a 24 años;M;1
2024;QUICHE;SANTA CRUZ DEL QUICHÉ;I:49;Otras arritmias cardíacas;25 a 29 años;M;1
2024;RETALHULEU;CHAMPERICO;I:82;Otras embolias y trombosis venosas;60 a 64 años;M;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:08;Enfermedades valvulares múltiples;2m a < 1 año;M;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:25;Enfermedad isquémica crónica del corazón;20 a 24 años;M;2
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:27;Otras enfermedades cardiopulmonares;25 a 29 años;M;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:37;Trastornos de la válvula pulmonar;35 a 39 años;M;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:46;Paro cardíaco;45 a 49 años;M;1
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:50;Insuficiencia cardíaca;55 a 59 años;M;2
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;60 a 64 años;M;6
2024;SACATEPEQUEZ;ANTIGUA GUATEMALA;I:84;Hemorroides;10 a 14 años;M;1
2024;SAN MARCOS;LA REFORMA;I:10;Hipertensión esencial (primaria);50 a 54 años;M;1
2024;SAN MARCOS;MALACATÁN;I:11;Enfermedad cardíaca hipertensiva;1m a < 2m;M;1
2024;SAN MARCOS;MALACATÁN;I:15;Hipertensión secundaria;1a a 4 años;M;1
2024;SAN MARCOS;MALACATÁN;I:27;Otras enfermedades cardiopulmonares;20 a 24 años;M;9
2024;SAN MARCOS;MALACATÁN;I:42;Cardiomiopatía;45 a 49 años;M;2
2024;SAN MARCOS;MALACATÁN;I:46;Paro cardíaco;55 a 59 años;M;2
2024;SAN MARCOS;MALACATÁN;I:47;Taquicardia paroxística;60 a 64 años;M;1
2024;SAN MARCOS;MALACATÁN;I:51;Complicaciones y descripciones mal definidas de enfermedad cardíaca;70+;M;5
2024;SAN MARCOS;MALACATÁN;I:88;Linfadenitis inespecífica;45 a 49 años;M;1
2024;SAN MARCOS;MALACATÁN;I:89;Otros trastornos no infecciosos de los vasos y ganglios linfáticos;50 a 54 años;M;1
2024;SAN MARCOS;MALACATÁN;J:44;Otras enfermedades pulmonares obstructivas crónicas;60 a 64 años;M;1
